DistributorId,DistributorRegistrationDate
11001972,2020-02-04T17:17:01.430Z
11090502,2020-02-04T07:48:37.843Z
11116003,2020-02-04T08:08:34.433Z
11116004,2020-02-04T08:35:56.527Z
11116005,2020-02-04T12:53:15.910Z
11116624,2020-02-03T18:32:42.543Z
11120307,2020-02-03T18:31:23.130Z
11122020,2020-02-04T10:11:12.763Z
11130043,2020-02-04T04:18:07.643Z
11198367,2020-02-04T09:52:22.940Z
11220545,2020-02-04T16:29:43.837Z
11241224,2020-02-04T14:01:24.780Z
11482251,2020-02-04T02:17:15.737Z
11547145,2020-02-04T10:39:48.147Z
11595867,2020-02-04T15:23:17.983Z
11739479,2020-02-04T10:30:49.963Z
12188101,2020-02-04T11:05:11.220Z
12291601,2020-02-04T06:31:28.280Z
12300823,2020-02-04T13:11:57.607Z
12340797,2020-02-04T15:02:44.763Z
12397685,2020-02-04T17:21:13.327Z
12512566,2020-02-04T10:34:47.987Z
12855015,2020-02-04T03:36:11.777Z
12929543,2020-02-04T08:36:47.760Z
13030621,2020-02-04T14:40:43.100Z
13042019,2020-02-04T17:15:30.087Z
13138082,2020-02-04T07:26:46.183Z
13184131,2020-02-04T10:44:14.867Z
13226468,2020-02-04T07:50:55.570Z
13263483,2020-02-04T12:21:16.733Z
13295242,2020-02-04T07:40:10.847Z
13301931,2020-02-04T09:52:48.777Z
13414206,2020-02-04T07:53:42.907Z
14141107,2020-02-04T14:21:20.930Z
14141433,2020-02-04T05:44:27.007Z
14141434,2020-02-04T05:51:36.133Z
14195800,2020-02-04T07:08:41.173Z
14222008,2020-02-04T15:57:29.180Z
14255142,2020-02-04T09:13:39.470Z
14291000,2020-02-04T03:29:32.913Z
14302250,2020-02-04T13:18:23.450Z
14314341,2020-02-04T14:31:45.977Z
14334114,2020-02-04T15:24:59.720Z
14521021,2020-02-04T07:23:56.320Z
14588405,2020-02-04T09:57:55.760Z
15001991,2020-02-04T08:44:54.957Z
15021021,2020-02-04T07:29:38.377Z
15121978,2020-02-04T11:10:25.880Z
15200008,2020-02-04T08:30:04.213Z
15245748,2020-02-04T07:34:34.673Z
15266666,2020-02-04T04:06:44.910Z
15564669,2020-02-04T09:05:52.687Z
15935725,2020-02-04T10:56:23.503Z
16070070,2020-02-04T06:51:41.073Z
16081097,2020-02-04T00:38:37.950Z
16203553,2020-02-04T04:30:06.790Z
16301882,2020-02-04T14:43:25.960Z
16526114,2020-02-04T09:48:13.073Z
16851162,2020-02-04T10:27:06.183Z
17101975,2020-02-04T08:55:59.327Z
17340894,2020-02-04T05:44:39.523Z
17430123,2020-02-04T15:00:33.783Z
17510757,2020-02-04T05:16:43.930Z
17592404,2020-02-04T08:30:55.340Z
17867779,2020-02-04T15:36:57.483Z
18000005,2020-02-04T11:51:13.500Z
18042008,2020-02-04T13:23:05.780Z
18131048,2020-02-04T14:31:00.010Z
18250598,2020-02-04T08:05:44.603Z
18434394,2020-02-04T10:37:29.810Z
18520000,2020-02-04T13:20:57.880Z
18822299,2020-02-04T12:12:56.357Z
18828527,2020-02-04T09:15:32.547Z
19021021,2020-02-04T11:13:36.610Z
19045104,2020-02-03T18:36:04.100Z
19061515,2020-02-04T09:44:18.310Z
19112007,2020-02-04T16:22:07.770Z
19462797,2020-02-04T07:49:22.857Z
19578726,2020-02-04T15:01:35.867Z
19622947,2020-02-04T06:44:52.307Z
19680215,2020-02-04T15:46:47.120Z
19680530,2020-02-04T18:27:11.260Z
19704055,2020-02-04T06:31:09.860Z
19711105,2020-02-04T07:42:47.127Z
19768300,2020-02-04T14:57:52.970Z
19778512,2020-02-04T15:53:34.650Z
19780731,2020-02-04T11:52:27.050Z
19811013,2020-02-04T15:15:35.977Z
19812405,2020-02-04T15:41:31.773Z
19834100,2020-02-04T06:14:37.523Z
19861209,2020-02-04T08:46:43.923Z
19871219,2020-02-04T09:58:59.747Z
19931987,2020-02-04T08:16:49.120Z
19932706,2020-02-04T16:11:17.683Z
19940810,2020-02-04T07:40:33.980Z
19952309,2020-02-04T06:54:08.567Z
19980418,2020-02-04T10:14:28.693Z
19984540,2020-02-04T03:49:51.533Z
19990613,2020-02-04T11:36:30.607Z
19991204,2020-02-04T02:42:42.997Z
19992209,2020-02-04T13:30:10.057Z
19999118,2020-02-04T08:56:44.010Z
